SecID;PerformanceID;FundId;Company;DomicileId;CompanyName;FundName;SecurityName;LegalStructure;ShareClassLegalName;UCITS;MorningstarCategoryId;InceptionDate;Status;ObsoleteDate;IsBaseCurrency;IsPrimaryShareClass;IsOldestClass;CurrencyId;IncomeDistribution;AccumulatedDistribution;InsuranceFund;HedgeFund;FundOfFunds;ExchangeTradedShare;CUSIP;ISIN;CurrencySpecificISIN;SEDOL;Ticker;GermanWKN;AustrianWKN;Valoren;MEX;OsloBors;FundSERV;APIR;ITAJ;FocusId;PricingFrequency;PricingDelay;ReportsOnFridays;ReportsOnSundays;FR_PEA;FR_AMF;IT_CategoriaAssogestioni;UK_IMASector;UK_AICSector;ES_CategoriaInverco;BE_CBF;DK_IFR;ES_INP;FR_FIP;HK_IFA;HK_MPF;HK_SCH;IL_ISA;UK_LIF/ABI Life;UK_PEN/ABI Pension;ZA_ASISA;AvailableForPensionPlan;GIFSCode;SuspendedPricing;ExchangeId;InstitutionalOnly;PenceTraded;DataReadiness;DataReadinessChangeDate;SociallyConscious;AMFI;KRCodeClass;KRCodeFund;MasterPortfolioId;PortfolioDate;LegalStructureId;SITCACode;SITCACategoryId;CICCode;GlobalCategoryId;MoneyMarketFund;AvailableForRetirementPlan;AvailableForInsuranceProduct;ShareClassTypeId;ShareClassType;RestrictedScheme;BroadAssetClass;CSDCCCode;MorningstarCategoryId_Fund;FR_PEA_PME;SpanishESP;IndexingApproach;SyntheticType;UKReportingFund;UKStatusStartDate;GermanTaxTransparence;AUTTaxTransparence;TrackRecordExtension;TrackRecordInheritedFrom;TrackRecordExtensionType
F00000WCN2;0P00016QCQ;FSGBR05GP7;0C000068ZH;FRA;Amundi Asset Management;Amundi Actions Foncier;Amundi Actions Foncier IC;FCP;Amundi Actions Foncier IC;1;EUCA000688;42268;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0012929446;FR0012929446;;;;;;;;;;;;D$;2;;;0;LC00000085;;;;;;;;;;;;;;;;0;GIFS$$$775;;;;;;;0;;;;276651;43373;23;;;41;$GC$SCREEQ;0;0;0;;;0;Equity;;EUCA000688;0;0;5;;;;0;0;;;
F00000WJMH;0P000170WA;FSGBR0506W;0C000068ZH;FRA;Amundi Asset Management;Amundi Cash Institutions SRI;Amundi Cash Institutions SRI I2 C;FCP;Amundi Cash Institutions SRI I2 C;1;EUCA000591;42321;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0013016615;FR0013016615;;;A2AC00;;30071366;;;;;;;D$;3;;;0;LC00002067;LC00000031;;;;;;;;;;;;;;;0;GIFS$$$245;;;;;;;1;;;;333275;43373;23;;;43;$GC$EUROMM;0;0;0;;;0;Money Market;;EUCA000591;0;0;5;;1;42305;0;1;;;
F00000W9FU;0P00016MG5;FS0000BQMH;0C00002HQ9;FRA;BNP Paribas Asset Management France;BNP Paribas Linus Flexi World;BNP Paribas Linus Flexi World Privilege;FCP;BNP Paribas Linus Flexi World Privilege;1;EUCA000739;42240;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0012443190;FR0012443190;;;;;26970035;0NACDO;;;;;;D$;3;;;0;LC00000264;LC00000034;;;;;;;;;;;;;;;0;GIFS$$$291;;;1;;;;0;;;;;;23;;;44;$GC$FALLOC;0;0;0;;;0;Allocation;;EUCA000739;0;0;5;;;;0;0;;;
F00000WSCK;0P00017BT5;FS0000CAZX;0C00001P3W;FRA;La Banque Postale Asset Management;LBPAM Kames Strategic Global Bond;LBPAM Kames Strategic Global Bond I A/I;FCP;LBPAM Kames Strategic Global Bond I;1;EUCA000901;42325;Active;;1;0;;EUR;1;0;0;0;0;0;;FR0012892644;FR0012892644;;;;;;;;;;;;D$;5;;;0;LC00000039;;;;;;;;;;;;;;;;0;GIFS$$$496;;;;;;;0;;;;1108575;42855;23;;;;$GC$GLOBFI;0;0;0;;;0;Fixed Income;;EUCA000901;0;0;5;;;;0;0;;;
F00000W1YI;0P00016DAH;FS0000BZK4;0C0000AOC8;FRA;Mirabaud Asset Management (France);Altitude Convertibles Monde;Altitude Convertibles Monde IC (EUR);SICAV;Altitude Convertibles Monde IC (EUR);1;EUCA000749;42178;Active;;1;0;1;EUR;0;1;0;0;0;0;;FR0012532893;FR0012532893;;;;;;;;;;;;D$;3;;;0;LC00000264;;;;;;;;;;;;;;;;0;GIFS$$$232;;;;;;;1;;;;1582979;43281;9;;;42;$GC$CONVER;0;0;0;;;0;Convertibles;;EUCA000749;0;0;5;;;;0;0;;;
F00000W1YK;0P00016DAJ;FS0000BZK4;0C0000AOC8;FRA;Mirabaud Asset Management (France);Altitude Convertibles Monde;Altitude Convertibles Monde AC (EUR);SICAV;Altitude Convertibles Monde AC (EUR);1;EUCA000749;42178;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0012532877;FR0012532877;;;;;;;;;;;;D$;3;;;0;LC00000264;;;;;;;;;;;;;;;;0;GIFS$$$232;;;;;;;1;;;;1582979;43281;9;;;42;$GC$CONVER;0;0;0;;;0;Convertibles;;EUCA000749;0;0;5;;;;0;0;;;
F00000ZVNW;0P0001CDSP;FS0000DKWB;0C000068ZH;FRA;Amundi Asset Management;LCL BDP Monétarises - B;LCL BDP Monétarises - B C;FCP;LCL BDP Monétarises - B C;0;EUCA000999;42782;Active;;1;0;1;EUR;0;1;0;0;0;0;;FR0013231008;FR0013231008;;;;;;;;;;;;D$;2;;;0;LC00000264;;;;;;;;;;;;;;;;0;GIFS$$$999;;;;;;;0;;;;1559979;43373;23;;;46;$GC$MISCEL;0;0;0;;;0;Miscellaneous;;EUCA000999;0;0;5;;;;0;0;;;
F00000ZVNX;0P0001CDSQ;FS0000DKWC;0C000068ZH;FRA;Amundi Asset Management;LCL BDP Monétarisés - C;LCL BDP Monétarisés - C C;FCP;LCL BDP Monétarisés - C C;0;EUCA000999;42852;Active;;1;0;1;EUR;0;1;0;0;0;0;;FR0013244571;FR0013244571;;;;;;;;;;;;D$;2;;;0;LC00000264;;;;;;;;;;;;;;;;0;GIFS$$$999;;;;;;;0;;;;1559980;43373;23;;;46;$GC$MISCEL;0;0;0;;;0;Miscellaneous;;EUCA000999;0;0;5;;;;0;0;;;
F00000ZVVU;0P0001CE2B;FS0000DKZD;0C000023NV;FRA;Lazard Frères Gestion;Gabriel;Gabriel A/I;SICAV;Gabriel;1;EUCA000739;43024;Active;;1;0;1;EUR;1;0;0;0;0;0;;FR0013276714;FR0013276714;;;;;;;;;;;;D$;1;;;0;LC00000264;;;;;;;;;;;;;;;;0;GIFS$$$291;;;;;;;0;;;;;;9;;;44;$GC$FALLOC;0;0;0;;;0;Allocation;;EUCA000739;0;0;5;;;;0;0;;;
F00000W25S;0P00016DI6;FSUSA0ARGL;0C00001TFD;FRA;Federal Finance Gestion;Federal Obligation Variable ISR;Federal Obligation Variable ISR P;FCP;Federal Obligation Variable ISR P;0;EUCA000593;42185;Obsolete;43313;1;0;;EUR;0;1;0;0;0;0;;FR0013332624;FR0013332624;;;;;;;;;;;;D$;3;;;0;LC00000038;;;;;;;;;;;;;;;;0;GIFS$$$225;;;;;3;43381;1;;;;655299;43373;23;;;42;$GC$EUROFI;0;0;0;;;0;Fixed Income;;EUCA000593;0;0;5;;;;0;0;;;
